dist,speed,max_hold_steps
18.8219,0.0000,0
21.5338,0.0000,0
19.8397,0.0000,0
23.7189,0.0000,0
25.3698,0.0000,0
17.0656,0.0000,0
22.7629,0.0000,0
21.1323,0.0000,0
21.3658,0.0000,0
24.4176,0.0000,0
20.6006,0.0000,0
16.8421,0.0000,0
24.6888,0.0000,0
24.2034,0.0000,0
18.5645,0.0000,0
22.9961,0.0000,0
16.1322,0.0000,0
20.6630,0.0000,0
20.0252,0.0000,0
20.3707,0.0000,0
21.8025,0.0000,0
22.7262,0.0000,0
17.6027,0.0000,0
21.3335,0.0000,0
16.2798,0.0000,0
22.0421,0.0000,0
16.2758,0.0000,0
16.9545,0.0000,0
22.0769,0.0000,0
24.4233,0.0000,0
16.9244,0.0000,0
23.8349,0.0000,0
22.5261,0.0000,0
16.9529,0.0000,0
18.3342,0.0000,0
17.4722,0.0000,0
19.1034,0.0000,0
15.8266,0.0000,0
21.4607,0.0000,0
25.5390,0.0000,0
23.3817,0.0000,0
25.3541,0.0000,0
19.6584,0.0000,0
17.8361,0.0000,0
17.2797,0.0000,0
15.9973,0.0000,0
25.7107,0.0000,0
22.5881,0.0000,0
19.0792,0.0000,0
23.1389,0.0000,0
21.6936,0.0000,0
23.3247,0.0000,0
19.2219,0.0000,0
20.5576,0.0000,0
20.6443,0.0000,0
22.5904,0.0000,0
20.8250,0.0000,0
19.4968,0.0000,0
19.8417,0.0000,0
24.8059,0.0000,0
22.6238,0.0000,0
20.7487,0.0000,0
22.6557,0.0000,0
22.8423,0.0000,0
15.7038,0.0000,0
22.2116,0.0000,0
18.0376,0.0000,0
19.5200,0.0000,0
24.7238,0.0000,0
25.7461,0.0000,0
16.3930,0.0000,0
23.3579,0.0000,0
24.8730,0.0000,0
17.6423,0.0000,0
15.9166,0.0000,0
22.7595,0.0000,0
17.3735,0.0000,0
17.8632,0.0000,0
23.7187,0.0000,0
21.7407,0.0000,0
18.8896,0.0000,0
21.0892,0.0000,0
23.5750,0.0000,0
18.7144,0.0000,0
17.3324,0.0000,0
20.2085,0.0000,0
20.4930,0.0000,0
21.9518,0.0000,0
21.1482,0.0000,0
17.0744,0.0000,0
24.8342,0.0000,0
16.9231,0.0000,0
19.5147,0.0000,0
21.6723,0.0000,0
24.6186,0.0000,0
18.7905,0.0000,0
23.7026,0.0000,0
17.8005,0.0000,0
24.2518,0.0000,0
25.2457,0.0000,0
15.7142,0.0000,0
20.1743,0.0000,0
20.7453,0.0000,0
25.6773,0.0000,0
18.7101,0.0000,0
19.3505,0.0000,0
24.0602,0.0000,0
16.4501,0.0000,0
24.0319,0.0000,0
17.7102,0.0000,0
25.6609,0.0000,0
19.7963,0.0000,0
17.0043,0.0000,0
22.3914,0.0000,0
24.8981,0.0000,0
22.1113,0.0000,0
17.2972,0.0000,0
25.8769,0.0000,0
16.7330,0.0000,0
21.1845,0.0000,0
19.6225,0.0000,0
23.3605,0.0000,0
25.7822,0.0000,0
23.7240,0.0000,0
19.5054,0.0000,0
16.3968,0.0000,0
24.2508,0.0000,0
23.6823,0.0000,0
22.2042,0.0000,0
25.3560,0.0000,0
23.7023,0.0000,0
23.5687,0.0000,0
20.1478,0.0000,0
24.7170,0.0000,0
24.8273,0.0000,0
21.1917,0.0000,0
16.6357,0.0000,0
24.1193,0.0000,0
16.9444,0.0000,0
24.5191,0.0000,0
17.8613,0.0000,0
20.9203,0.0000,0
21.2340,0.0000,0
15.6602,0.0000,0
20.2925,0.0000,0
19.1342,0.0000,0
19.9913,0.0000,0
15.7580,0.0000,0
19.5876,0.0000,0
17.6098,0.0000,0
25.8784,0.0000,0
17.7493,0.0000,0
21.6242,0.0000,0
23.8337,0.0000,0
21.0646,0.0000,0
24.3570,0.0000,0
24.2868,0.0000,0
17.3452,0.0000,0
18.7114,0.0000,0
25.8368,0.0000,0
15.8157,0.0000,0
18.2702,0.0000,0
24.8429,0.0000,0
21.5929,0.0000,0
18.2013,0.0000,0
25.8879,0.0000,0
17.3672,0.0000,0
19.8067,0.0000,0
18.4725,0.0000,0
16.1054,0.0000,0
17.7621,0.0000,0
25.2657,0.0000,0
22.9622,0.0000,0
16.1671,0.0000,0
25.4370,0.0000,0
21.9167,0.0000,0
21.3895,0.0000,0
18.9063,0.0000,0
25.3224,0.0000,0
16.8996,0.0000,0
16.4396,0.0000,0
19.9559,0.0000,0
23.0792,0.0000,0
22.0198,0.0000,0
19.6120,0.0000,0
19.6493,0.0000,0
17.1853,0.0000,0
19.0190,0.0000,0
22.9228,0.0000,0
19.0548,0.0000,0
18.0520,0.0000,0
23.6005,0.0000,0
21.3392,0.0000,0
20.6795,0.0000,0
19.3359,0.0000,0
25.4868,0.0000,0
18.9807,0.0000,0
16.4354,0.0000,0
17.2101,0.0000,0
21.9811,0.0000,0
23.6645,0.0000,0
18.8582,0.0000,0
20.8269,0.0000,0
17.1220,0.0000,0
23.7770,0.0000,0
21.8064,0.0000,0
23.8264,0.0000,0
22.1956,0.0000,0
17.9810,0.0000,0
23.5808,0.0000,0
25.0304,0.0000,0
24.5419,0.0000,0
22.4933,0.0000,0
18.9341,0.0000,0
17.2072,0.0000,0
16.4613,0.0000,0
22.5783,0.0000,0
19.3688,0.0000,0
18.3637,0.0000,0
21.6910,0.0000,0
17.5745,0.0000,0
19.2916,0.0000,0
15.6972,0.0000,0
22.9276,0.0000,0
21.7958,0.0000,0
19.0777,0.0000,0
16.1631,0.0000,0
24.3864,0.0000,0
21.7707,0.0000,0
20.1202,0.0000,0
17.0005,0.0000,0
18.1893,0.0000,0
24.7661,0.0000,0
21.5801,0.0000,0
21.3689,0.0000,0
24.3832,0.0000,0
20.2889,0.0000,0
19.1832,0.0000,0
19.9251,0.0000,0
21.2048,0.0000,0
23.4449,0.0000,0
15.9586,0.0000,0
24.6063,0.0000,0
19.6609,0.0000,0
20.0230,0.0000,0
17.7413,0.0000,0
18.6843,0.0000,0
20.1758,0.0000,0
21.2259,0.0000,0
16.4839,0.0000,0
24.0404,0.0000,0
16.4389,0.0000,0
20.0110,0.0000,0
22.6183,0.0000,0
24.6223,0.0000,0
20.1349,0.0000,0
24.2486,0.0000,0
17.7220,0.0000,0
19.3090,0.0000,0
18.7805,0.0000,0
22.8135,0.0000,0
23.7000,0.0000,0
17.5097,0.0000,0
21.1981,0.0000,0
17.5969,0.0000,0
20.1291,0.0000,0
19.9450,0.0000,0
17.8686,0.0000,0
19.3274,0.0000,0
16.4004,0.0000,0
16.0409,0.0000,0
24.9717,0.0000,0
23.7424,0.0000,0
19.2648,0.0000,0
16.6457,0.0000,0
23.0273,0.0000,0
22.2417,0.0000,0
18.6174,0.0000,0
22.3656,0.0000,0
21.8081,0.0000,0
18.7029,0.0000,0
25.2023,0.0000,0
16.2167,0.0000,0
18.5948,0.0000,0
16.2015,0.0000,0
22.5646,0.0000,0
20.3817,0.0000,0
24.4501,0.0000,0
21.3489,0.0000,0
25.1543,0.0000,0
20.4508,0.0000,0
20.7075,0.0000,0
23.4925,0.0000,0
19.9590,0.0000,0
22.2917,0.0000,0
20.2109,0.0000,0
16.3900,0.0000,0
17.1532,0.0000,0
16.6439,0.0000,0
15.8149,0.0000,0
23.0442,0.0000,0
15.8897,0.0000,0
19.4459,0.0000,0
18.7776,0.0000,0
17.0323,0.0000,0
15.6932,0.0000,0
19.7791,0.0000,0
22.1225,0.0000,0
23.9393,0.0000,0
20.7463,0.0000,0
22.5208,0.0000,0
22.6216,0.0000,0
21.7855,0.0000,0
20.2640,0.0000,0
17.3806,0.0000,0
18.9814,0.0000,0
22.4831,0.0000,0
22.9410,0.0000,0
22.8398,0.0000,0
24.2057,0.0000,0
24.3237,0.0000,0
15.9476,0.0000,0
19.6348,0.0000,0
24.9607,0.0000,0
22.1812,0.0000,0
18.5862,0.0000,0
16.2686,0.0000,0
18.3090,0.0000,0
17.5163,0.0000,0
17.8808,0.0000,0
18.5559,0.0000,0
20.7450,0.0000,0
17.3624,0.0000,0
18.0353,0.0000,0
22.9390,0.0000,0
18.0768,0.0000,0
24.5516,0.0000,0
18.3268,0.0000,0
25.4979,0.0000,0
20.6656,0.0000,0
16.9090,0.0000,0
17.8320,0.0000,0
22.6991,0.0000,0
24.0702,0.0000,0
24.1485,0.0000,0
20.0830,0.0000,0
22.0667,0.0000,0
24.3345,0.0000,0
22.7409,0.0000,0
19.7332,0.0000,0
22.5656,0.0000,0
16.4592,0.0000,0
23.9680,0.0000,0
23.1619,0.0000,0
17.0405,0.0000,0
21.2488,0.0000,0
18.8240,0.0000,0
22.4700,0.0000,0
18.3442,0.0000,0
19.1787,0.0000,0
25.2138,0.0000,0
17.9993,0.0000,0
19.9836,0.0000,0
24.9031,0.0000,0
19.1537,0.0000,0
21.5976,0.0000,0
21.0538,0.0000,0
20.3038,0.0000,0
21.7276,0.0000,0
16.7155,0.0000,0
21.0413,0.0000,0
22.4808,0.0000,0
25.4745,0.0000,0
16.1553,0.0000,0
18.7874,0.0000,0
20.6207,0.0000,0
21.0807,0.0000,0
24.6321,0.0000,0
19.5137,0.0000,0
18.2969,0.0000,0
17.3199,0.0000,0
17.6633,0.0000,0
17.3010,0.0000,0
23.6477,0.0000,0
19.2556,0.0000,0
19.8691,0.0000,0
15.7430,0.0000,0
19.7801,0.0000,0
23.5083,0.0000,0
21.3561,0.0000,0
22.1295,0.0000,0
23.9733,0.0000,0
21.6992,0.0000,0
22.1410,0.0000,0
23.5644,0.0000,0
16.4231,0.0000,0
24.7777,0.0000,0
18.8173,0.0000,0
21.1386,0.0000,0
20.0886,0.0000,0
22.1546,0.0000,0
23.0282,0.0000,0
25.8061,0.0000,0
19.0188,0.0000,0
21.4547,0.0000,0
17.2066,0.0000,0
18.1903,0.0000,0
16.4422,0.0000,0
18.0978,0.0000,0
19.4195,0.0000,0
23.6041,0.0000,0
18.7696,0.0000,0
19.3644,0.0000,0
22.6140,0.0000,0
16.0976,0.0000,0
24.7059,0.0000,0
20.3749,0.0000,0
16.7334,0.0000,0
23.0510,0.0000,0
16.1507,0.0000,0
24.2697,0.0000,0
17.8798,0.0000,0
20.4650,0.0000,0
23.8022,0.0000,0
18.5326,0.0000,0
25.0902,0.0000,0
17.3889,0.0000,0
21.0885,0.0000,0
24.7362,0.0000,0
18.0529,0.0000,0
19.7326,0.0000,0
22.3456,0.0000,0
17.5607,0.0000,0
15.6691,0.0000,0
19.5958,0.0000,0
19.9348,0.0000,0
23.4535,0.0000,0
20.8119,0.0000,0
16.0686,0.0000,0
23.3524,0.0000,0
18.3708,0.0000,0
20.6289,0.0000,0
18.9756,0.0000,0
16.0329,0.0000,0
21.1537,0.0000,0
15.8758,0.0000,0
16.3449,0.0000,0
21.5139,0.0000,0
23.4385,0.0000,0
20.0839,0.0000,0
24.1859,0.0000,0
19.9175,0.0000,0
18.4491,0.0000,0
24.1206,0.0000,0
18.3008,0.0000,0
25.1356,0.0000,0
16.5657,0.0000,0
24.2786,0.0000,0
20.1546,0.0000,0
16.3983,0.0000,0
21.2209,0.0000,0
24.0714,0.0000,0
21.1654,0.0000,0
22.3720,0.0000,0
19.5050,0.0000,0
18.0442,0.0000,0
22.6447,0.0000,0
17.3639,0.0000,0
22.4976,0.0000,0
21.2520,0.0000,0
25.3881,0.0000,0
21.2479,0.0000,0
15.9031,0.0000,0
24.3699,0.0000,0
25.1190,0.0000,0
25.5092,0.0000,0
21.9792,0.0000,0
25.7936,0.0000,0
23.2327,0.0000,0
16.2167,0.0000,0
24.6847,0.0000,0
16.1131,0.0000,0
21.0472,0.0000,0
21.3879,0.0000,0
23.0494,0.0000,0
19.7652,0.0000,0
21.3438,0.0000,0
22.4481,0.0000,0
16.5270,0.0000,0
16.3528,0.0000,0
18.2476,0.0000,0
22.1584,0.0000,0
22.2562,0.0000,0
15.6567,0.0000,0
18.8056,0.0000,0
23.1867,0.0000,0
22.0356,0.0000,0
20.2395,0.0000,0
20.1620,0.0000,0
23.3241,0.0000,0
16.3839,0.0000,0
25.8578,0.0000,0
17.1277,0.0000,0
24.3142,0.0000,0
20.8831,0.0000,0
20.5133,0.0000,0
23.3010,0.0000,0
16.2496,0.0000,0
19.6455,0.0000,0
25.3440,0.0000,0
16.9915,0.0000,0
19.0991,0.0000,0
15.7729,0.0000,0
23.3444,0.0000,0
17.6583,0.0000,0
24.9178,0.0000,0
19.2251,0.0000,0
23.3443,0.0000,0
23.7641,0.0000,0
25.2019,0.0000,0
20.0839,0.0000,0
17.9164,0.0000,0
23.9396,0.0000,0
17.1824,0.0000,0
19.7123,0.0000,0
18.7929,0.0000,0
23.4300,0.0000,0
25.5141,0.0000,0
19.6278,0.0000,0
18.9279,0.0000,0
17.7516,0.0000,0
25.6672,0.0000,0
21.2947,0.0000,0
21.6976,0.0000,0
22.8228,0.0000,0
18.3453,0.0000,0
20.0953,0.0000,0
21.7421,0.0000,0
17.7447,0.0000,0
21.5121,0.0000,0
21.5528,0.0000,0
17.7339,0.0000,0
24.5306,0.0000,0
24.5878,0.0000,0
19.8721,0.0000,0
25.2010,0.0000,0
24.3623,0.0000,0
23.2185,0.0000,0
16.8831,0.0000,0
21.5657,0.0000,0
23.7507,0.0000,0
22.1428,0.0000,0
17.8150,0.0000,0
17.0561,0.0000,0
21.0819,0.0000,0
20.8902,0.0000,0
23.5547,0.0000,0
23.9270,0.0000,0
20.3584,0.0000,0
24.8992,0.0000,0
21.4083,0.0000,0
18.2326,0.0000,0
21.6345,0.0000,0
16.8949,0.0000,0
15.6316,0.0000,0
17.7450,0.0000,0
19.2501,0.0000,0
17.9124,0.0000,0
25.5273,0.0000,0
16.1173,0.0000,0
17.9721,0.0000,0
19.4113,0.0000,0
23.8621,0.0000,0
23.2421,0.0000,0
23.8181,0.0000,0
20.1963,0.0000,0
21.2444,0.0000,0
18.0393,0.0000,0
19.6420,0.0000,0
17.3882,0.0000,0
22.3545,0.0000,0
16.5667,0.0000,0
20.4393,0.0000,0
24.5270,0.0000,0
18.8175,0.0000,0
17.8060,0.0000,0
23.5608,0.0000,0
22.4735,0.0000,0
20.1144,0.0000,0
20.0691,0.0000,0
17.8259,0.0000,0
21.9248,0.0000,0
15.9372,0.0000,0
21.9082,0.0000,0
16.2901,0.0000,0
19.3707,0.0000,0
20.8740,0.0000,0
16.9204,0.0000,0
24.2072,0.0000,0
24.1671,0.0000,0
19.2795,0.0000,0
18.5446,0.0000,0
21.9149,0.0000,0
24.6050,0.0000,0
19.2451,0.0000,0
15.6260,0.0000,0
19.1550,0.0000,0
20.3848,0.0000,0
21.3649,0.0000,0
20.7893,0.0000,0
20.2506,0.0000,0
24.3390,0.0000,0
19.3601,0.0000,0
19.2796,0.0000,0
18.7661,0.0000,0
24.5525,0.0000,0
18.7981,0.0000,0
21.4692,0.0000,0
23.0627,0.0000,0
21.3312,0.0000,0
15.6679,0.0000,0
18.9624,0.0000,0
21.1604,0.0000,0
19.1175,0.0000,0
20.4917,0.0000,0
22.8630,0.0000,0
22.1673,0.0000,0
16.8541,0.0000,0
20.9227,0.0000,0
23.4302,0.0000,0
22.0558,0.0000,0
17.9857,0.0000,0
17.4885,0.0000,0
19.6639,0.0000,0
21.7255,0.0000,0
16.0788,0.0000,0
23.3039,0.0000,0
19.8832,0.0000,0
18.0914,0.0000,0
20.2551,0.0000,0
22.0992,0.0000,0
20.8969,0.0000,0
15.8371,0.0000,0
23.1014,0.0000,0
18.1383,0.0000,0
21.2095,0.0000,0
16.3680,0.0000,0
24.9425,0.0000,0
17.9223,0.0000,0
16.8980,0.0000,0
16.9820,0.0000,0
21.2719,0.0000,0
20.9542,0.0000,0
18.5205,0.0000,0
20.4709,0.0000,0
23.7480,0.0000,0
23.4669,0.0000,0
25.3010,0.0000,0
24.0737,0.0000,0
25.9887,0.0000,0
23.4247,0.0000,0
19.5395,0.0000,0
24.0224,0.0000,0
23.8482,0.0000,0
18.1844,0.0000,0
24.6047,0.0000,0
18.0929,0.0000,0
18.9230,0.0000,0
20.1322,0.0000,0
22.1178,0.0000,0
17.1569,0.0000,0
23.7558,0.0000,0
25.4975,0.0000,0
22.8197,0.0000,0
18.8249,0.0000,0
21.7696,0.0000,0
20.7932,0.0000,0
24.1362,0.0000,0
22.4997,0.0000,0
20.4932,0.0000,0
25.5146,0.0000,0
19.0502,0.0000,0
16.8426,0.0000,0
24.6028,0.0000,0
16.4912,0.0000,0
16.0072,0.0000,0
25.6176,0.0000,0
19.1020,0.0000,0
24.1062,0.0000,0
21.2980,0.0000,0
23.5997,0.0000,0
24.9743,0.0000,0
25.3400,0.0000,0
22.3416,0.0000,0
16.6443,0.0000,0
23.8563,0.0000,0
24.9720,0.0000,0
21.1178,0.0000,0
19.9482,0.0000,0
16.1794,0.0000,0
25.3330,0.0000,0
18.5901,0.0000,0
17.7139,0.0000,0
15.7408,0.0000,0
22.1475,0.0000,0
21.0996,0.0000,0
24.6424,0.0000,0
20.3648,0.0000,0
20.7181,0.0000,0
22.1359,0.0000,0
22.9633,0.0000,0
19.7727,0.0000,0
24.8609,0.0000,0
19.0684,0.0000,0
23.6410,0.0000,0
21.3113,0.0000,0
17.8196,0.0000,0
19.9458,0.0000,0
23.2410,0.0000,0
19.2444,0.0000,0
16.3371,0.0000,0
15.6937,0.0000,0
19.4239,0.0000,0
25.5519,0.0000,0
21.9921,0.0000,0
22.4040,0.0000,0
25.8656,0.0000,0
17.9156,0.0000,0
19.8377,0.0000,0
22.5041,0.0000,0
16.1343,0.0000,0
24.9422,0.0000,0
18.2071,0.0000,0
18.5960,0.0000,0
22.9941,0.0000,0
17.7456,0.0000,0
25.8017,0.0000,0
24.3570,0.0000,0
23.1918,0.0000,0
15.7158,0.0000,0
24.8357,0.0000,0
21.9466,0.0000,0
19.5258,0.0000,0
25.4917,0.0000,0
20.2086,0.0000,0
16.9636,0.0000,0
19.9879,0.0000,0
19.3159,0.0000,0
20.6056,0.0000,0
18.3105,0.0000,0
24.5047,0.0000,0
19.6626,0.0000,0
16.2028,0.0000,0
23.7918,0.0000,0
23.7066,0.0000,0
22.3564,0.0000,0
17.5867,0.0000,0
18.8539,0.0000,0
22.4586,0.0000,0
22.8618,0.0000,0
25.1473,0.0000,0
17.2553,0.0000,0
17.2080,0.0000,0
18.1936,0.0000,0
23.7525,0.0000,0
17.3037,0.0000,0
17.5231,0.0000,0
16.5426,0.0000,0
23.8564,0.0000,0
25.3626,0.0000,0
17.6218,0.0000,0
19.1515,0.0000,0
20.7776,0.0000,0
16.0453,0.0000,0
17.9487,0.0000,0
25.0428,0.0000,0
18.6145,0.0000,0
25.2209,0.0000,0
15.9101,0.0000,0
22.9359,0.0000,0
22.3742,0.0000,0
19.0343,0.0000,0
17.4320,0.0000,0
15.8143,0.0000,0
24.2280,0.0000,0
16.3126,0.0000,0
23.7245,0.0000,0
24.9014,0.0000,0
17.5912,0.0000,0
25.3829,0.0000,0
22.3989,0.0000,0
17.1223,0.0000,0
18.9825,0.0000,0
16.2199,0.0000,0
19.1250,0.0000,0
17.8546,0.0000,0
19.6588,0.0000,0
22.6897,0.0000,0
23.1797,0.0000,0
17.9169,0.0000,0
23.8164,0.0000,0
25.4509,0.0000,0
24.5589,0.0000,0
19.5062,0.0000,0
16.4769,0.0000,0
23.4246,0.0000,0
19.2680,0.0000,0
18.0167,0.0000,0
24.7216,0.0000,0
25.3445,0.0000,0
17.6203,0.0000,0
15.7593,0.0000,0
22.6000,0.0000,0
25.7822,0.0000,0
21.2631,0.0000,0
22.1005,0.0000,0
18.6118,0.0000,0
23.0546,0.0000,0
24.5556,0.0000,0
20.9234,0.0000,0
21.1613,0.0000,0
24.0913,0.0000,0
18.3517,0.0000,0
23.0200,0.0000,0
17.8070,0.0000,0
23.6727,0.0000,0
21.3766,0.0000,0
20.2185,0.0000,0
19.0259,0.0000,0
19.0870,0.0000,0
17.0399,0.0000,0
23.2844,0.0000,0
21.5563,0.0000,0
21.9611,0.0000,0
24.6059,0.0000,0
23.7563,0.0000,0
15.8195,0.0000,0
24.6255,0.0000,0
16.3064,0.0000,0
19.5886,0.0000,0
18.4004,0.0000,0
19.0415,0.0000,0
19.7085,0.0000,0
23.3653,0.0000,0
21.3475,0.0000,0
21.5861,0.0000,0
17.0265,0.0000,0
17.6657,0.0000,0
20.5721,0.0000,0
19.2984,0.0000,0
21.5376,0.0000,0
22.9074,0.0000,0
22.6361,0.0000,0
24.9436,0.0000,0
21.3616,0.0000,0
17.3300,0.0000,0
24.1512,0.0000,0
22.1622,0.0000,0
17.6659,0.0000,0
16.2740,0.0000,0
21.0045,0.0000,0
15.8480,0.0000,0
16.0229,0.0000,0
25.8988,0.0000,0
21.3733,0.0000,0
18.3433,0.0000,0
20.8709,0.0000,0
21.0930,0.0000,0
24.0564,0.0000,0
18.0747,0.0000,0
18.8476,0.0000,0
20.6707,0.0000,0
19.9452,0.0000,0
17.6425,0.0000,0
19.1807,0.0000,0
22.5096,0.0000,0
24.6801,0.0000,0
25.0474,0.0000,0
21.6360,0.0000,0
20.9634,0.0000,0
21.9229,0.0000,0
23.0933,0.0000,0
21.5557,0.0000,0
16.3504,0.0000,0
25.2500,0.0000,0
16.1897,0.0000,0
17.0331,0.0000,0
19.1449,0.0000,0
17.5461,0.0000,0
20.0653,0.0000,0
22.5288,0.0000,0
25.8445,0.0000,0
25.8173,0.0000,0
24.2910,0.0000,0
21.0346,0.0000,0
16.3304,0.0000,0
15.9806,0.0000,0
18.7299,0.0000,0
16.0942,0.0000,0
22.0951,0.0000,0
15.6975,0.0000,0
20.0187,0.0000,0
17.5536,0.0000,0
20.4478,0.0000,0
16.8928,0.0000,0
20.6101,0.0000,0
16.7925,0.0000,0
25.7953,0.0000,0
16.0079,0.0000,0
18.1324,0.0000,0
19.2042,0.0000,0
17.1180,0.0000,0
25.3729,0.0000,0
19.8777,0.0000,0
23.4551,0.0000,0
18.8171,0.0000,0
15.8727,0.0000,0
23.3148,0.0000,0
17.0641,0.0000,0
22.4662,0.0000,0
19.4897,0.0000,0
18.5497,0.0000,0
17.8414,0.0000,0
18.1254,0.0000,0
22.7625,0.0000,0
19.0865,0.0000,0
20.5284,0.0000,0
16.5326,0.0000,0
20.7686,0.0000,0
17.4684,0.0000,0
23.6606,0.0000,0
16.9862,0.0000,0
18.1713,0.0000,0
21.5607,0.0000,0
24.1072,0.0000,0
18.1085,0.0000,0
19.1412,0.0000,0
16.3503,0.0000,0
21.7042,0.0000,0
17.3029,0.0000,0
19.0438,0.0000,0
16.7638,0.0000,0
23.6377,0.0000,0
16.7392,0.0000,0
24.9546,0.0000,0
16.3161,0.0000,0
16.3738,0.0000,0
25.6738,0.0000,0
15.9315,0.0000,0
16.5259,0.0000,0
21.0610,0.0000,0
24.0416,0.0000,0
24.4103,0.0000,0
21.9195,0.0000,0
19.3958,0.0000,0
15.8391,0.0000,0
18.3124,0.0000,0
21.7229,0.0000,0
17.3024,0.0000,0
21.6529,0.0000,0
22.0685,0.0000,0
18.2624,0.0000,0
16.2901,0.0000,0
21.1107,0.0000,0
18.6588,0.0000,0
20.9206,0.0000,0
16.5272,0.0000,0
25.4354,0.0000,0
18.7710,0.0000,0
22.2785,0.0000,0
19.7936,0.0000,0
18.8646,0.0000,0
17.1618,0.0000,0
21.7208,0.0000,0
25.6663,0.0000,0
18.5601,0.0000,0
19.6050,0.0000,0
15.6402,0.0000,0
18.8594,0.0000,0
21.8751,0.0000,0
24.5681,0.0000,0
17.6524,0.0000,0
23.7119,0.0000,0
17.1904,0.0000,0
15.7785,0.0000,0
16.5396,0.0000,0
24.6818,0.0000,0
21.7529,0.0000,0
25.8221,0.0000,0
24.0743,0.0000,0
18.4667,0.0000,0
19.0703,0.0000,0
17.6326,0.0000,0
20.0586,0.0000,0
25.7511,0.0000,0
24.5250,0.0000,0
18.9984,0.0000,0
18.1239,0.0000,0
16.4120,0.0000,0
23.3007,0.0000,0
17.6842,0.0000,0
24.1240,0.0000,0
18.4391,0.0000,0
17.0511,0.0000,0
19.1242,0.0000,0
21.7927,0.0000,0
19.3531,0.0000,0
24.8386,0.0000,0
21.6939,0.0000,0
20.5047,0.0000,0
23.0167,0.0000,0
20.6786,0.0000,0
16.6651,0.0000,0
23.8843,0.0000,0
21.5331,0.0000,0
18.7712,0.0000,0
