step,rl_mean,rl_std,rl_ema,baseline_mean,baseline_std,baseline_ema,pid_mean,pid_std,pid_ema
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.010000000000000009,1.0,0.0,0.010000000000000009,1.0,0.0,0.010000000000000009
2,2.0,0.0,0.029900000000000027,2.0,0.0,0.029900000000000027,2.0,0.0,0.029900000000000027
3,3.0,0.0,0.05960100000000006,3.0,0.0,0.05960100000000006,3.0,0.0,0.05960100000000006
4,4.0,0.0,0.0990049900000001,4.0,0.0,0.0990049900000001,4.0,0.0,0.0990049900000001
5,5.0,0.0,0.14801494010000016,5.0,0.0,0.14801494010000016,5.0,0.0,0.14801494010000016
6,6.0,0.0,0.20653479069900021,6.0,0.0,0.20653479069900021,6.0,0.0,0.20653479069900021
7,7.0,0.0,0.27446944279201024,7.0,0.0,0.27446944279201024,7.0,0.0,0.27446944279201024
8,8.0,0.0,0.35172474836409023,8.0,0.0,0.35172474836409023,8.0,0.0,0.35172474836409023
9,9.0,0.0,0.4382075008804494,9.0,0.0,0.4382075008804494,9.0,0.0,0.4382075008804494
10,10.0,0.0,0.533825425871645,10.0,0.0,0.533825425871645,10.0,0.0,0.533825425871645
11,11.0,0.0,0.6384871716129287,11.0,0.0,0.6384871716129287,11.0,0.0,0.6384871716129287
12,12.0,0.0,0.7521022998967994,12.0,0.0,0.7521022998967994,12.0,0.0,0.7521022998967994
13,13.0,0.0,0.8745812768978316,13.0,0.0,0.8745812768978316,13.0,0.0,0.8745812768978316
14,14.0,0.0,1.0058354641288534,14.0,0.0,1.0058354641288534,14.0,0.0,1.0058354641288534
15,15.0,0.0,1.145777109487565,15.0,0.0,1.145777109487565,15.0,0.0,1.145777109487565
16,16.0,0.0,1.2943193383926896,16.0,0.0,1.2943193383926896,16.0,0.0,1.2943193383926896
17,17.0,0.0,1.451376145008763,17.0,0.0,1.451376145008763,17.0,0.0,1.451376145008763
18,18.0,0.0,1.6168623835586755,18.0,0.0,1.6168623835586755,18.0,0.0,1.6168623835586755
19,19.0,0.0,1.790693759723089,19.0,0.0,1.790693759723089,19.0,0.0,1.790693759723089
20,20.0,0.0,1.9727868221258582,20.0,0.0,1.9727868221258582,20.0,0.0,1.9727868221258582
21,21.0,0.0,2.1630589539046,21.0,0.0,2.1630589539046,21.0,0.0,2.1630589539046
22,22.0,0.0,2.3614283643655543,22.0,0.0,2.3614283643655543,22.0,0.0,2.3614283643655543
23,23.0,0.0,2.5678140807218988,23.0,0.0,2.5678140807218988,23.0,0.0,2.5678140807218988
24,24.0,0.0,2.78213593991468,24.0,0.0,2.78213593991468,24.0,0.0,2.78213593991468
25,25.0,0.0,3.0043145805155334,25.0,0.0,3.0043145805155334,25.0,0.0,3.0043145805155334
26,26.0,0.0,3.234271434710378,26.0,0.0,3.234271434710378,26.0,0.0,3.234271434710378
27,27.0,0.0,3.471928720363274,27.0,0.0,3.471928720363274,27.0,0.0,3.471928720363274
28,28.0,0.0,3.7172094331596415,28.0,0.0,3.7172094331596415,28.0,0.0,3.7172094331596415
29,29.0,0.0,3.970037338828045,29.0,0.0,3.970037338828045,29.0,0.0,3.970037338828045
30,30.0,0.0,4.230336965439765,30.0,0.0,4.230336965439765,30.0,0.0,4.230336965439765
31,31.0,0.0,4.498033595785368,31.0,0.0,4.498033595785368,31.0,0.0,4.498033595785368
32,32.0,0.0,4.773053259827515,32.0,0.0,4.773053259827515,32.0,0.0,4.773053259827515
33,33.0,0.0,5.05532272722924,33.0,0.0,5.05532272722924,33.0,0.0,5.05532272722924
34,34.0,0.0,5.344769499956948,34.0,0.0,5.344769499956948,34.0,0.0,5.344769499956948
35,35.0,0.0,5.6413218049573794,35.0,0.0,5.6413218049573794,35.0,0.0,5.6413218049573794
36,36.0,0.0,5.944908586907806,36.0,0.0,5.944908586907806,36.0,0.0,5.944908586907806
37,37.0,0.0,6.255459501038728,37.0,0.0,6.255459501038728,37.0,0.0,6.255459501038728
38,38.0,0.0,6.5729049060283415,38.0,0.0,6.5729049060283415,38.0,0.0,6.5729049060283415
39,39.0,0.0,6.897175856968059,39.0,0.0,6.897175856968059,39.0,0.0,6.897175856968059
40,40.0,0.0,7.228204098398379,40.0,0.0,7.228204098398379,40.0,0.0,7.228204098398379
41,41.0,0.0,7.5659220574143955,41.0,0.0,7.5659220574143955,41.0,0.0,7.5659220574143955
42,42.0,0.0,7.910262836840252,42.0,0.0,7.910262836840252,42.0,0.0,7.910262836840252
43,43.0,0.0,8.26116020847185,43.0,0.0,8.26116020847185,43.0,0.0,8.26116020847185
44,44.0,0.0,8.618548606387133,44.0,0.0,8.618548606387133,44.0,0.0,8.618548606387133
45,45.0,0.0,8.982363120323262,45.0,0.0,8.982363120323262,45.0,0.0,8.982363120323262
46,46.0,0.0,9.35253948912003,46.0,0.0,9.35253948912003,46.0,0.0,9.35253948912003
47,47.0,0.0,9.72901409422883,47.0,0.0,9.72901409422883,47.0,0.0,9.72901409422883
48,48.0,0.0,10.111723953286543,48.0,0.0,10.111723953286543,48.0,0.0,10.111723953286543
49,49.0,0.0,10.500606713753678,49.0,0.0,10.500606713753678,49.0,0.0,10.500606713753678
50,50.0,0.0,10.89560064661614,50.0,0.0,10.89560064661614,50.0,0.0,10.89560064661614
51,51.0,0.0,11.296644640149978,51.0,0.0,11.296644640149978,51.0,0.0,11.296644640149978
52,52.0,0.0,11.70367819374848,52.0,0.0,11.70367819374848,52.0,0.0,11.70367819374848
53,53.0,0.0,12.116641411810997,53.0,0.0,12.116641411810997,53.0,0.0,12.116641411810997
